2020-04-27 03:35:20.094 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:35:20.095 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:35:30.139 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:35:30.141 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:35:40.086 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:35:40.087 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:35:50.100 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:35:50.102 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:36:00.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:36:00.098 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:36:10.107 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:36:10.117 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:36:20.105 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:36:20.106 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:36:30.136 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:36:30.138 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:36:40.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:36:40.100 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:36:50.106 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:36:50.108 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:37:00.098 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:37:00.099 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:37:10.103 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:37:10.105 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:37:20.095 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:37:20.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:37:30.099 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:37:30.101 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:37:40.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:37:40.099 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:37:50.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:37:50.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:38:00.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:38:00.099 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:38:10.094 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:38:10.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:38:20.095 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:38:20.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:38:30.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:38:30.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:38:40.146 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:38:40.150 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:38:50.104 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:38:50.105 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:39:00.098 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:39:00.099 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:39:10.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:39:10.098 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:39:20.102 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:39:20.103 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:39:30.104 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:39:30.105 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:39:40.114 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:39:40.115 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:39:50.100 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:39:50.102 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:40:00.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:40:00.098 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:40:10.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:40:10.098 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:40:20.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:40:20.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:40:30.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:40:30.098 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:40:40.094 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:40:40.095 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:40:50.099 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:40:50.101 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:41:00.091 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:41:00.092 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:41:10.095 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:41:10.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:41:20.093 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:41:20.094 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:41:30.102 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:41:30.108 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:41:40.100 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:41:40.102 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:41:50.094 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:41:50.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:42:00.095 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:42:00.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:42:10.095 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:42:10.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:42:20.095 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:42:20.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:42:30.093 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
